"시군별(1)",시군별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"시군별(1)",시군별(2),인구 (명),인구 (명),인구 (명),용도지역총합계 (천㎡),도시지역 (천㎡),도시지역_주거지역 (천㎡),도시지역_주거지역 (천㎡),도시지역_주거지역 (천㎡),도시지역_주거지역 (천㎡),도시지역_주거지역 (천㎡),도시지역_주거지역 (천㎡),도시지역_주거지역 (천㎡),도시지역_주거지역 (천㎡),도시지역_주거지역 (천㎡),도시지역_상업지역 (천㎡),도시지역_상업지역 (천㎡),도시지역_상업지역 (천㎡),도시지역_상업지역 (천㎡),도시지역_상업지역 (천㎡),도시지역_공업지역 (천㎡),도시지역_공업지역 (천㎡),도시지역_공업지역 (천㎡),도시지역_공업지역 (천㎡),도시지역_녹지지역 (천㎡),도시지역_녹지지역 (천㎡),도시지역_녹지지역 (천㎡),도시지역_녹지지역 (천㎡),도시지역_미지정 (천㎡),비도시지역 (천㎡),비도시지역 (천㎡),비도시지역 (천㎡),비도시지역 (천㎡),비도시지역 (천㎡),비도시지역 (천㎡),비도시지역 (천㎡),비도시지역 (천㎡),비도시지역 (천㎡)
"시군별(1)",시군별(2),소계,도시지역인구,비도시지역인구,소계,소계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거,소계,중심상업,일반상업,근린상업,유통상업,소계,전용공업,일반공업,준공업,소계,보존녹지,생산녹지,자연녹지,소계,소계,계획관리지역,생산관리지역,보전관리지역,미세분관리지역,농림지역,농림지역,자연환경보전지역,자연환경보전지역
"시군별(1)",시군별(2),소계,소계,소계,소계,소계,소계,소계,제1종전용,제2종전용,소계,1종일반,2종일반,3종일반,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림지역 지정비율 (%),소계,지정비율 (%)
"합계",소계,13630821,12929995,700826,10383989,3370828,602466,12119,8699,3420,540600,180972,200359,159269,49747,66511,9714,47611,3888,5299,141563,180,120052,21332,2555859,201981,151215,2202662,4428,7013161,1405654,413382,1146910,548,3601029,51.3,445638,6.4
"남부",소계,10070729,9603426,467303,6092792,2399738,414962,9436,6444,2992,370380,111779,147006,111595,35146,49268,8218,32491,3478,5081,120653,-,102964,17689,1811316,195635,122115,1493566,3539,3693053,879050,253471,657709,525,1711253,46.3,191045,5.2
"남부",수원시,1197257,1197257,-,121180,121180,45482,153,153,-,42767,12232,20425,10110,2562,6286,1388,4608,290,-,4114,-,4007,106,65298,1082,6618,57598,-,-,-,-,-,-,-,-,-,-
"남부",성남시,919747,919747,-,141821,141821,31248,1120,810,309,26665,4851,9681,12133,3463,5239,1956,2273,1010,-,1744,-,1412,332,103589,33702,-,69888,-,-,-,-,-,-,-,-,-,-
"남부",안양시,544660,544660,-,58499,58499,15148,142,142,-,14357,4272,4827,5258,649,2211,658,1554,-,-,3230,-,2363,867,37910,247,-,37663,-,-,-,-,-,-,-,-,-,-
"남부",부천시,779968,779968,-,53450,53450,26970,226,224,2,24849,2856,15403,6589,1895,3496,472,2489,335,200,4442,-,3018,1424,18542,-,114,18428,-,-,-,-,-,-,-,-,-,-
"남부",광명시,280197,280197,-,38506,38506,9363,150,71,80,8935,2107,4663,2165,277,1732,-,1381,21,330,697,-,461,236,26715,85,-,26631,-,-,-,-,-,-,-,-,-,-
"남부",평택시,591022,551296,39726,460251,150947,39905,161,10,151,36209,15729,11245,9235,3536,6410,363,3724,360,1963,30079,-,22753,7327,74515,4051,10323,60141,38,309304,74155,19285,51442,-,142115,45.9,22306,7.2
"남부",안산시,629308,629308,-,236109,151471,24934,127,48,80,23171,6061,13493,3617,1635,2931,417,2426,88,-,16696,-,15788,908,106911,16896,7579,82436,-,84637,-,-,-,-,-,0.0,84637,100.0
"남부",과천시,81000,81000,-,35853,35853,4502,333,119,214,3620,1215,1070,1335,549,236,-,236,-,-,-,-,-,-,31115,-,-,31115,-,-,-,-,-,-,-,-,-,-
"남부",오산시,229656,229656,-,42707,42707,11344,153,153,-,10147,3024,3840,3283,1044,1079,-,1029,49,-,2530,-,2444,86,27754,4246,3116,20392,-,-,-,-,-,-,-,-,-,-
"남부",시흥시,519715,519715,-,135057,135057,24224,266,123,142,20737,7422,8663,4652,3222,1918,340,1530,48,-,12130,-,9789,2341,96784,105,-,96679,-,-,-,-,-,-,-,-,-,-
"남부",군포시,261229,261229,-,36460,36460,8275,-,-,-,7851,793,3298,3760,424,680,120,540,20,-,2602,-,2405,197,24903,55,-,24847,-,-,-,-,-,-,-,-,-,-
"남부",의왕시,158870,158870,-,53991,53991,7186,159,159,-,6169,1862,1888,2419,858,303,-,303,-,-,1132,-,1034,98,45370,-,-,45370,-,-,-,-,-,-,-,-,-,-
"남부",하남시,329861,329861,-,93046,93046,16039,338,338,-,12927,5435,2551,4941,2773,1546,250,1062,234,-,217,-,130,86,75245,-,-,75245,-,-,-,-,-,-,-,-,-,-
"남부",용인시,1075566,1039761,35805,592902,392239,39106,808,130,678,36026,7474,12771,15781,2272,4135,945,2382,611,197,8003,-,7590,413,340995,73275,12105,255616,-,200663,59573,12654,21946,-,104917,52.3,1572,0.8
"남부",이천시,222098,149462,72636,461807,83103,7640,63,63,-,6879,3031,2910,939,698,690,-,690,-,-,3227,-,3222,6,71546,5837,22347,43363,-,378703,123887,29245,62782,-,162789,43.0,-,0.0
"남부",안성시,189034,121397,67637,553461,155875,10778,819,819,-,9600,4964,3558,1079,359,1153,-,528,187,438,5576,-,4743,833,138367,28038,15782,94547,-,397586,74723,34296,61326,38,226510,57.0,693,0.2
"남부",김포시,486172,463464,22708,276586,104689,20643,823,577,246,17767,6803,5450,5514,2052,2108,-,1209,140,759,7123,-,6598,525,74815,14894,13726,46194,-,171897,39377,12025,40571,-,78154,45.5,1770,1.0
"남부",화성시,944342,870786,73556,785409,321246,53191,3594,2503,1090,43880,11752,14065,18063,5717,6039,1310,3591,86,1051,15347,-,14153,1194,243856,7673,24341,211842,2814,464162,179243,50984,54407,229,135457,29.2,43842,9.4
"남부",광주시,391377,362535,28842,430989,151890,12119,-,-,-,11363,6771,3927,665,756,428,-,339,-,90,649,-,649,-,138006,5450,1307,131249,688,279099,72131,19461,46759,-,140747,50.4,-,0.0
"남부",여주시,114412,77644,36768,607701,26505,3419,-,-,-,3277,1822,1397,58,142,328,-,277,-,51,1101,-,404,697,21658,-,2440,19217,-,581195,143061,52555,147148,258,235827,40.6,2347,0.4
"남부",양평군,125238,35613,89625,877009,51202,3447,-,-,-,3184,1305,1879,-,263,319,-,319,-,-,14,-,-,14,47422,-,2317,45105,-,825807,112900,22965,171327,-,484737,58.7,33879,4.1
"북부",소계,3560092,3326569,233523,4291197,971089,187504,2683,2255,428,170220,69192,53354,47674,14601,17243,1495,15120,410,218,20910,180,17088,3643,744542,6346,29101,709096,889,3320108,526604,159912,489201,23,1889776,56.9,254593,7.7
"북부",의정부시,464213,464213,-,81547,81547,16430,108,108,-,15796,2877,7927,4993,525,1509,-,1478,-,31,386,-,-,386,63222,5,-,63217,-,-,-,-,-,-,-,-,-,-
"북부",동두천시,88626,88626,-,95681,33565,5917,20,20,-,5686,2018,2644,1024,211,1042,-,1042,-,-,1262,-,1243,19,25345,-,-,25345,-,62116,6998,1648,13618,-,39852,64.2,-,0.0
"북부",고양시,1074907,1074907,-,266414,195001,43267,572,572,-,38262,12118,13413,12730,4433,6967,993,5868,107,-,100,-,-,100,144667,-,-,144667,-,71413,20509,2750,18746,-,29407,41.2,-,0.0
"북부",구리시,187093,187093,-,33292,33292,7380,-,-,-,6978,2475,1746,2757,402,775,-,547,46,182,-,-,-,-,25137,-,-,25137,-,-,-,-,-,-,-,-,-,-
"북부",남양주시,732265,701079,31186,458502,242423,46443,649,540,109,41437,20797,8556,12084,4357,2595,-,2556,34,5,550,-,449,101,192836,2453,167,190216,-,216079,38368,11648,27896,6,123658,57.2,14504,6.7
"북부",파주시,497753,453894,43859,680204,82069,21955,344,295,49,19622,6252,4795,8575,1988,2102,302,1719,81,-,8806,-,7358,1448,48764,1804,5365,41595,442,598135,113715,38332,149332,-,227507,38.0,69250,11.6
"북부",양주시,268026,233197,34829,310242,151447,26896,935,665,270,23865,12486,6510,4869,2096,667,200,385,82,-,5479,-,4505,975,117957,1970,12224,103764,447,158795,31900,7260,28216,-,91419,57.6,-,0.0
"북부",포천시,143323,77022,66301,826442,39211,8959,-,-,-,8540,5047,2866,627,419,583,-,583,-,-,2672,180,2154,338,26998,83,5803,21112,-,787231,123572,32753,75565,-,555009,70.5,331,0.0
"북부",연천군,41584,25882,15702,695210,30645,4268,-,-,-,4215,3618,581,15,53,516,-,456,60,-,1597,-,1320,276,24265,31,3968,20266,-,664565,102991,55889,95585,-,294545,44.3,115556,17.4
"북부",가평군,62302,20656,41646,843664,81889,5991,55,55,-,5819,1504,4315,-,117,486,-,486,-,-,60,-,60,-,75353,-,1574,73778,-,761774,88551,9631,80243,17,528379,69.4,54952,7.2
