시군명,구/읍면동명,사고년도,사고유형구분,다발지역FID,다발지역ID,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보
하남시,선동,2022,자전거사고다발지,6813235,2023016,4145011200,41450004,경기도 하남시4,경기도 하남시 선동(미사강변도시8단지 부근),4,4,0,0,4,0,37.57249235,127.1832784,"{""type"":""Polygon"",""coordinates"":[[[127.18507499,37.57249235],[127.18504046,37.57221454],[127.18493823,37.57194741],[127.1847722,37.57170123],[127.18454876,37.57148544],[127.18427651,37.57130835],[127.1839659,37.57117675],[127.18362886,37.57109572],[127.18327835,37.57106836],[127.18292785,37.57109572],[127.18259081,37.57117675],[127.1822802,37.57130835],[127.18200795,37.57148544],[127.18178451,37.57170123],[127.18161848,37.57194741],[127.18151625,37.57221454],[127.18148172,37.57249235],[127.18151625,37.57277015],[127.18161848,37.57303728],[127.18178451,37.57328346],[127.18200795,37.57349925],[127.1822802,37.57367633],[127.18259081,37.57380792],[127.18292785,37.57388895],[127.18327835,37.57391631],[127.18362886,37.57388895],[127.1839659,37.57380792],[127.18427651,37.57367633],[127.18454876,37.57349925],[127.1847722,37.57328346],[127.18493823,37.57303728],[127.18504046,37.57277015],[127.18507499,37.57249235]]]}"
하남시,망월동,2022,자전거사고다발지,6813093,2023016,4145010900,41450003,경기도 하남시3,경기도 하남시 망월동(미사2동 행정복지센터 부근),4,5,0,1,2,2,37.56708975,127.1853395,"{""type"":""Polygon"",""coordinates"":[[[127.18713611,37.56708975],[127.18710158,37.56681192],[127.18699935,37.56654477],[127.18683332,37.56629856],[127.18660989,37.56608276],[127.18633763,37.56590566],[127.18602702,37.56577406],[127.18568998,37.56569302],[127.18533948,37.56566565],[127.18498897,37.56569302],[127.18465194,37.56577406],[127.18434132,37.56590566],[127.18406907,37.56608276],[127.18384563,37.56629856],[127.18367961,37.56654477],[127.18357737,37.56681192],[127.18354285,37.56708975],[127.18357737,37.56736757],[127.18367961,37.56763472],[127.18384563,37.56788092],[127.18406907,37.56809672],[127.18434132,37.56827382],[127.18465194,37.56840541],[127.18498897,37.56848645],[127.18533948,37.56851381],[127.18568998,37.56848645],[127.18602702,37.56840541],[127.18633763,37.56827382],[127.18660989,37.56809672],[127.18683332,37.56788092],[127.18699935,37.56763472],[127.18710158,37.56736757],[127.18713611,37.56708975]]]}"
성남시,중원구,2022,자전거사고다발지,6813058,2023016,4113310100,41133001,경기도 성남시 중원구1,경기도 성남시 중원구 성남동(모란사거리 부근),7,7,0,3,4,0,37.43334412,127.1289311,"{""type"":""Polygon"",""coordinates"":[[[127.13072774,37.43334412],[127.13069322,37.4330658],[127.13059098,37.43279817],[127.13042495,37.43255152],[127.13020152,37.43233533],[127.12992927,37.43215791],[127.12961865,37.43202607],[127.12928162,37.43194489],[127.12893111,37.43191747],[127.12858061,37.43194489],[127.12824357,37.43202607],[127.12793296,37.43215791],[127.1276607,37.43233533],[127.12743727,37.43255152],[127.12727124,37.43279817],[127.127169,37.4330658],[127.12713448,37.43334412],[127.127169,37.43362244],[127.12727124,37.43389007],[127.12743727,37.43413671],[127.1276607,37.4343529],[127.12793296,37.43453031],[127.12824357,37.43466215],[127.12858061,37.43474333],[127.12893111,37.43477074],[127.12928162,37.43474333],[127.12961865,37.43466215],[127.12992927,37.43453031],[127.13020152,37.4343529],[127.13042495,37.43413671],[127.13059098,37.43389007],[127.13069322,37.43362244],[127.13072774,37.43334412]]]}"
수원시,권선구,2022,자전거사고다발지,6814022,2023016,4111312600,41113001,경기도 수원시 권선구1,경기도 수원시 권선구 세류동(칠갑산마트 부근),5,5,0,2,2,1,37.25282626,127.0127699,"{""type"":""Polygon"",""coordinates"":[[[127.01456654,37.25282626],[127.01453201,37.25254727],[127.01442978,37.252279],[127.01426375,37.25203176],[127.01404032,37.25181505],[127.01376806,37.2516372],[127.01345745,37.25150504],[127.01312041,37.25142366],[127.01276991,37.25139618],[127.0124194,37.25142366],[127.01208236,37.25150504],[127.01177175,37.2516372],[127.0114995,37.25181505],[127.01127606,37.25203176],[127.01111004,37.252279],[127.0110078,37.25254727],[127.01097328,37.25282626],[127.0110078,37.25310526],[127.01111004,37.25337353],[127.01127606,37.25362076],[127.0114995,37.25383747],[127.01177175,37.25401531],[127.01208236,37.25414746],[127.0124194,37.25422884],[127.01276991,37.25425632],[127.01312041,37.25422884],[127.01345745,37.25414746],[127.01376806,37.25401531],[127.01404032,37.25383747],[127.01426375,37.25362076],[127.01442978,37.25337353],[127.01453201,37.25310526],[127.01456654,37.25282626]]]}"
수원시,권선구,2022,자전거사고다발지,6813266,2023016,4111313400,41113002,경기도 수원시 권선구2,경기도 수원시 권선구 금곡동(홈플러스 서수원점 부근),4,4,0,2,2,0,37.27475072,126.9554412,"{""type"":""Polygon"",""coordinates"":[[[126.95723786,37.27475072],[126.95720334,37.27447181],[126.9571011,37.27420361],[126.95693507,37.27395644],[126.95671164,37.2737398],[126.95643938,37.273562],[126.95612877,37.27342988],[126.95579173,37.27334853],[126.95544123,37.27332105],[126.95509072,37.27334853],[126.95475369,37.27342988],[126.95444307,37.273562],[126.95417082,37.2737398],[126.95394738,37.27395644],[126.95378136,37.27420361],[126.95367912,37.27447181],[126.9536446,37.27475072],[126.95367912,37.27502963],[126.95378136,37.27529782],[126.95394738,37.27554499],[126.95417082,37.27576163],[126.95444307,37.27593942],[126.95475369,37.27607153],[126.95509072,37.27615289],[126.95544123,37.27618036],[126.95579173,37.27615289],[126.95612877,37.27607153],[126.95643938,37.27593942],[126.95671164,37.27576163],[126.95693507,37.27554499],[126.9571011,37.27529782],[126.95720334,37.27502963],[126.95723786,37.27475072]]]}"
수원시,팔달구,2022,자전거사고다발지,6814023,2023016,4111513300,41115001,경기도 수원시 팔달구1,경기도 수원시 팔달구 매교동(교동사거리 부근),5,5,1,1,1,2,37.27209795,127.0165767,"{""type"":""Polygon"",""coordinates"":[[[127.01837331,37.27209795],[127.01833878,37.27181903],[127.01823655,37.27155083],[127.01807052,37.27130365],[127.01784709,37.27108699],[127.01757483,37.27090919],[127.01726422,37.27077707],[127.01692718,37.27069571],[127.01657668,37.27066823],[127.01622617,37.27069571],[127.01588913,37.27077707],[127.01557852,37.27090919],[127.01530627,37.27108699],[127.01508283,37.27130365],[127.01491681,37.27155083],[127.01481457,37.27181903],[127.01478005,37.27209795],[127.01481457,37.27237687],[127.01491681,37.27264507],[127.01508283,37.27289225],[127.01530627,37.2731089],[127.01557852,37.27328669],[127.01588913,37.27341881],[127.01622617,37.27350017],[127.01657668,37.27352764],[127.01692718,37.27350017],[127.01726422,37.27341881],[127.01757483,37.27328669],[127.01784709,37.2731089],[127.01807052,37.27289225],[127.01823655,37.27264507],[127.01833878,37.27237687],[127.01837331,37.27209795]]]}"
수원시,팔달구,2022,자전거사고다발지,6813065,2023016,4111513800,41115002,경기도 수원시 팔달구2,경기도 수원시 팔달구 화서동(화서문지구대 부근),4,4,0,1,1,2,37.28681556,126.9929212,"{""type"":""Polygon"",""coordinates"":[[[126.99471787,37.28681556],[126.99468335,37.28653669],[126.99458111,37.28626854],[126.99441508,37.28602141],[126.99419165,37.28580479],[126.99391939,37.28562702],[126.99360878,37.28549493],[126.99327175,37.28541359],[126.99292124,37.28538612],[126.99257074,37.28541359],[126.9922337,37.28549493],[126.99192309,37.28562702],[126.99165083,37.28580479],[126.9914274,37.28602141],[126.99126137,37.28626854],[126.99115913,37.28653669],[126.99112461,37.28681556],[126.99115913,37.28709442],[126.99126137,37.28736257],[126.9914274,37.2876097],[126.99165083,37.2878263],[126.99192309,37.28800407],[126.9922337,37.28813616],[126.99257074,37.2882175],[126.99292124,37.28824496],[126.99327175,37.2882175],[126.99360878,37.28813616],[126.99391939,37.28800407],[126.99419165,37.2878263],[126.99441508,37.2876097],[126.99458111,37.28736257],[126.99468335,37.28709442],[126.99471787,37.28681556]]]}"
시흥시,정왕동,2022,자전거사고다발지,6814030,2023016,4139013200,41390001,경기도 시흥시1,경기도 시흥시 정왕동(하모니마트 부근),5,5,0,3,1,1,37.34537798,126.7489134,"{""type"":""Polygon"",""coordinates"":[[[126.75070999,37.34537798],[126.75067547,37.34509933],[126.75057323,37.34483139],[126.7504072,37.34458445],[126.75018377,37.34436801],[126.74991151,37.34419038],[126.7496009,37.34405838],[126.74926386,37.3439771],[126.74891336,37.34394966],[126.74856285,37.3439771],[126.74822582,37.34405838],[126.74791521,37.34419038],[126.74764295,37.34436801],[126.74741952,37.34458445],[126.74725349,37.34483139],[126.74715125,37.34509933],[126.74711673,37.34537798],[126.74715125,37.34565663],[126.74725349,37.34592457],[126.74741952,37.3461715],[126.74764295,37.34638794],[126.74791521,37.34656557],[126.74822582,37.34669756],[126.74856285,37.34677883],[126.74891336,37.34680628],[126.74926386,37.34677883],[126.7496009,37.34669756],[126.74991151,37.34656557],[126.75018377,37.34638794],[126.7504072,37.3461715],[126.75057323,37.34592457],[126.75067547,37.34565663],[126.75070999,37.34537798]]]}"
시흥시,정왕동,2022,자전거사고다발지,6813068,2023016,4139013200,41390002,경기도 시흥시2,경기도 시흥시 정왕동(시흥장애인복지관 부근),5,5,0,3,1,1,37.34766855,126.7418653,"{""type"":""Polygon"",""coordinates"":[[[126.74366191,37.34766855],[126.74362739,37.34738991],[126.74352515,37.34712198],[126.74335913,37.34687505],[126.74313569,37.34665861],[126.74286344,37.34648098],[126.74255282,37.346349],[126.74221579,37.34626772],[126.74186528,37.34624027],[126.74151478,37.34626772],[126.74117774,37.346349],[126.74086713,37.34648098],[126.74059487,37.34665861],[126.74037144,37.34687505],[126.74020541,37.34712198],[126.74010317,37.34738991],[126.74006865,37.34766855],[126.74010317,37.34794719],[126.74020541,37.34821513],[126.74037144,37.34846205],[126.74059487,37.34867848],[126.74086713,37.3488561],[126.74117774,37.34898809],[126.74151478,37.34906936],[126.74186528,37.34909681],[126.74221579,37.34906936],[126.74255282,37.34898809],[126.74286344,37.3488561],[126.74313569,37.34867848],[126.74335913,37.34846205],[126.74352515,37.34821513],[126.74362739,37.34794719],[126.74366191,37.34766855]]]}"
시흥시,정왕동,2022,자전거사고다발지,6813078,2023016,4139013200,41390003,경기도 시흥시3,경기도 시흥시 정왕동(정왕농협삼거리 부근),4,4,0,1,2,1,37.34851218,126.7469375,"{""type"":""Polygon"",""coordinates"":[[[126.74873414,37.34851218],[126.74869961,37.34823355],[126.74859738,37.34796561],[126.74843135,37.34771869],[126.74820791,37.34750225],[126.74793566,37.34732463],[126.74762505,37.34719264],[126.74728801,37.34711136],[126.7469375,37.34708392],[126.746587,37.34711136],[126.74624996,37.34719264],[126.74593935,37.34732463],[126.7456671,37.34750225],[126.74544366,37.34771869],[126.74527763,37.34796561],[126.7451754,37.34823355],[126.74514087,37.34851218],[126.7451754,37.34879082],[126.74527763,37.34905875],[126.74544366,37.34930567],[126.7456671,37.3495221],[126.74593935,37.34969972],[126.74624996,37.3498317],[126.746587,37.34991298],[126.7469375,37.34994042],[126.74728801,37.34991298],[126.74762505,37.3498317],[126.74793566,37.34969972],[126.74820791,37.3495221],[126.74843135,37.34930567],[126.74859738,37.34905875],[126.74869961,37.34879082],[126.74873414,37.34851218]]]}"
안산시,단원구,2022,자전거사고다발지,6813190,2023016,4127310100,41273001,경기도 안산시 단원구1,경기도 안산시 단원구 고잔동(송호초교사거리 부근),5,6,0,2,4,0,37.31281407,126.8366721,"{""type"":""Polygon"",""coordinates"":[[[126.83846873,37.31281407],[126.83843421,37.3125353],[126.83833197,37.31226724],[126.83816595,37.3120202],[126.83794251,37.31180366],[126.83767026,37.31162595],[126.83735964,37.3114939],[126.83702261,37.31141259],[126.8366721,37.31138513],[126.8363216,37.31141259],[126.83598456,37.3114939],[126.83567395,37.31162595],[126.83540169,37.31180366],[126.83517826,37.3120202],[126.83501223,37.31226724],[126.83490999,37.3125353],[126.83487547,37.31281407],[126.83490999,37.31309284],[126.83501223,37.3133609],[126.83517826,37.31360794],[126.83540169,37.31382447],[126.83567395,37.31400217],[126.83598456,37.31413422],[126.8363216,37.31421553],[126.8366721,37.31424299],[126.83702261,37.31421553],[126.83735964,37.31413422],[126.83767026,37.31400217],[126.83794251,37.31382447],[126.83816595,37.31360794],[126.83833197,37.3133609],[126.83843421,37.31309284],[126.83846873,37.31281407]]]}"
안산시,단원구,2022,자전거사고다발지,6813099,2023016,4127310700,41273002,경기도 안산시 단원구2,경기도 안산시 단원구 초지동(화정교 부근),4,4,0,4,0,0,37.31786529,126.8213917,"{""type"":""Polygon"",""coordinates"":[[[126.82318835,37.31786529],[126.82315383,37.31758653],[126.82305159,37.31731849],[126.82288556,37.31707147],[126.82266213,37.31685494],[126.82238987,37.31667725],[126.82207926,37.31654521],[126.82174222,37.3164639],[126.82139172,37.31643644],[126.82104121,37.3164639],[126.82070418,37.31654521],[126.82039356,37.31667725],[126.82012131,37.31685494],[126.81989787,37.31707147],[126.81973185,37.31731849],[126.81962961,37.31758653],[126.81959509,37.31786529],[126.81962961,37.31814404],[126.81973185,37.31841207],[126.81989787,37.3186591],[126.82012131,37.31887562],[126.82039356,37.31905331],[126.82070418,37.31918534],[126.82104121,37.31926665],[126.82139172,37.31929411],[126.82174222,37.31926665],[126.82207926,37.31918534],[126.82238987,37.31905331],[126.82266213,37.31887562],[126.82288556,37.3186591],[126.82305159,37.31841207],[126.82315383,37.31814404],[126.82318835,37.31786529]]]}"
안산시,단원구,2022,자전거사고다발지,6813113,2023016,4127310100,41273003,경기도 안산시 단원구3,경기도 안산시 단원구 고잔동(한양빌딩사거리 부근),4,6,0,3,2,1,37.31710424,126.8302015,"{""type"":""Polygon"",""coordinates"":[[[126.83199812,37.31710424],[126.8319636,37.31682549],[126.83186136,37.31655744],[126.83169533,37.31631041],[126.8314719,37.31609389],[126.83119964,37.31591619],[126.83088903,37.31578415],[126.830552,37.31570284],[126.83020149,37.31567538],[126.82985099,37.31570284],[126.82951395,37.31578415],[126.82920334,37.31591619],[126.82893108,37.31609389],[126.82870765,37.31631041],[126.82854162,37.31655744],[126.82843938,37.31682549],[126.82840486,37.31710424],[126.82843938,37.317383],[126.82854162,37.31765104],[126.82870765,37.31789806],[126.82893108,37.31811458],[126.82920334,37.31829228],[126.82951395,37.31842431],[126.82985099,37.31850562],[126.83020149,37.31853307],[126.830552,37.31850562],[126.83088903,37.31842431],[126.83119964,37.31829228],[126.8314719,37.31811458],[126.83169533,37.31789806],[126.83186136,37.31765104],[126.8319636,37.317383],[126.83199812,37.31710424]]]}"
안산시,단원구,2022,자전거사고다발지,6813091,2023016,4127310800,41273004,경기도 안산시 단원구4,경기도 안산시 단원구 원곡동(연수원사거리 부근),4,4,0,3,1,0,37.3234234,126.800687,"{""type"":""Polygon"",""coordinates"":[[[126.80248363,37.3234234],[126.80244911,37.32314467],[126.80234687,37.32287665],[126.80218084,37.32262964],[126.80195741,37.32241314],[126.80168515,37.32223545],[126.80137454,37.32210342],[126.8010375,37.32202212],[126.800687,37.32199466],[126.80033649,37.32202212],[126.79999946,37.32210342],[126.79968884,37.32223545],[126.79941659,37.32241314],[126.79919315,37.32262964],[126.79902713,37.32287665],[126.79892489,37.32314467],[126.79889037,37.3234234],[126.79892489,37.32370213],[126.79902713,37.32397015],[126.79919315,37.32421716],[126.79941659,37.32443366],[126.79968884,37.32461134],[126.79999946,37.32474336],[126.80033649,37.32482467],[126.800687,37.32485212],[126.8010375,37.32482467],[126.80137454,37.32474336],[126.80168515,37.32461134],[126.80195741,37.32443366],[126.80218084,37.32421716],[126.80234687,37.32397015],[126.80244911,37.32370213],[126.80248363,37.3234234]]]}"
안산시,단원구,2022,자전거사고다발지,6814028,2023016,4127310300,41273005,경기도 안산시 단원구5,경기도 안산시 단원구 신길동(휴먼시아2단지 부근),4,4,0,2,2,0,37.33457244,126.7769942,"{""type"":""Polygon"",""coordinates"":[[[126.77879084,37.33457244],[126.77875632,37.33429375],[126.77865408,37.33402577],[126.77848806,37.3337788],[126.77826462,37.33356232],[126.77799237,37.33338466],[126.77768175,37.33325265],[126.77734472,37.33317136],[126.77699421,37.33314391],[126.77664371,37.33317136],[126.77630667,37.33325265],[126.77599606,37.33338466],[126.7757238,37.33356232],[126.77550037,37.3337788],[126.77533434,37.33402577],[126.7752321,37.33429375],[126.77519758,37.33457244],[126.7752321,37.33485113],[126.77533434,37.33511911],[126.77550037,37.33536608],[126.7757238,37.33558255],[126.77599606,37.3357602],[126.77630667,37.3358922],[126.77664371,37.33597349],[126.77699421,37.33600094],[126.77734472,37.33597349],[126.77768175,37.3358922],[126.77799237,37.3357602],[126.77826462,37.33558255],[126.77848806,37.33536608],[126.77865408,37.33511911],[126.77875632,37.33485113],[126.77879084,37.33457244]]]}"
