"동별(1)",동별(2),2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)",동별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"동별(1)",동별(2),소계,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상+
"합계",소계,9386034,37771,41087,43013,43637,47506,50291,55100,62036,66691,66430,66672,74287,71911,72773,69371,73898,78204,72331,70353,83411,90143,91928,107831,131911,133245,144366,156937,161989,167679,169782,166912,167885,160863,144144,138171,135207,128904,127826,129669,127824,140499,149016,150876,149267,147369,125833,136639,134499,137417,148658,154267,157344,165379,159648,157049,152744,142296,130464,138553,137813,131053,141351,144609,149541,140281,130606,130134,118290,124747,105326,92368,100301,69598,77304,77477,76056,77140,61726,53348,53151,50902,58700,45877,37680,35672,29804,25648,21523,18774,14634,11300,9131,6569,5341,4468,3233,2360,1387,887,670,1448
"합계",종로구,139417,390,460,479,470,543,552,655,726,834,810,819,937,891,994,899,947,1090,982,924,1256,1355,1498,1772,2186,2302,2298,2490,2529,2561,2505,2441,2390,2285,1986,1780,1733,1738,1590,1754,1625,1906,1910,2080,1919,1968,1724,1803,1860,1917,2107,2289,2420,2647,2571,2487,2457,2376,2100,2282,2286,2177,2332,2370,2338,2115,1989,2014,1814,1939,1601,1368,1530,1005,1118,1197,1167,1240,986,921,971,904,1076,882,732,734,646,492,461,392,325,224,201,138,110,87,71,56,38,17,19,35
"합계",중구,121312,472,535,591,547,542,524,577,639,627,576,621,658,553,554,512,570,671,598,576,843,970,1055,1304,1702,1696,1893,2082,2107,2298,2430,2472,2527,2388,2095,2076,2076,1883,1777,1851,1719,1896,1832,1852,1822,1702,1488,1508,1451,1530,1688,1759,1833,2045,2028,2060,2037,1920,1666,1833,1887,1863,1961,1990,2054,1895,1785,1832,1720,1724,1509,1261,1364,958,1083,1100,1074,1123,887,798,843,784,920,783,598,584,502,405,396,335,254,226,157,131,94,96,70,57,21,11,13,27
"합계",용산구,213151,927,1008,1005,1034,1094,1110,1112,1225,1288,1286,1251,1330,1249,1301,1263,1322,1454,1361,1398,1691,1810,1942,2294,2804,2784,3029,3455,3664,4008,4313,4292,4441,4315,4021,3654,3519,3339,3298,3355,3176,3325,3495,3384,3480,3105,2721,2902,2805,2889,3182,3293,3649,3852,3705,3704,3533,3330,2928,3190,3133,3137,3302,3204,3269,3173,2844,2898,2609,2623,2267,1974,2032,1425,1615,1604,1632,1621,1291,1209,1219,1190,1396,1146,964,937,894,742,663,512,461,347,268,227,157,151,110,66,38,28,23,56
"합계",성동구,277361,1409,1558,1604,1625,1660,1736,1741,1872,1854,1834,1778,1780,1659,1571,1552,1731,1925,1752,1752,2351,2653,2733,3272,4211,4147,4462,4713,4851,5018,4919,4926,5050,4853,4732,4385,4552,4331,4341,4252,4242,4447,4687,4530,4354,4144,3492,3767,3717,3757,4031,4378,4397,4828,4782,4789,4596,4276,3886,4354,4163,3982,4378,4366,4529,4084,3796,3741,3428,3374,2900,2512,2651,1888,2139,2160,2010,2190,1772,1532,1553,1536,1777,1348,1169,1062,906,818,714,530,457,322,254,184,146,130,88,68,26,20,15,44
"합계",광진구,335554,1120,1204,1261,1271,1434,1460,1577,1839,2046,1996,2130,2319,2274,2306,2224,2381,2576,2475,2335,2784,3378,3394,4397,5721,5971,6665,7032,7302,7562,7427,7103,7048,6448,5692,5256,5046,4713,4584,4700,4353,4768,5139,5071,5005,4938,4166,4718,4540,4761,4997,5232,5431,5754,5617,5558,5585,5239,4808,5028,4904,4643,5077,5152,5263,4895,4571,4441,3939,4170,3385,2990,3353,2161,2445,2333,2487,2485,1946,1656,1715,1642,1814,1496,1234,1176,983,819,674,603,487,350,290,209,151,135,97,84,34,33,30,43
"합계",동대문구,341149,1390,1497,1549,1682,1822,1814,1996,2133,2249,2170,2094,2346,2155,2165,2041,2172,2345,2129,2128,3032,3828,4142,5220,6320,6201,6364,6383,6257,6102,6055,5827,5696,5464,4966,4745,4611,4554,4504,4619,4476,5113,5254,5273,5127,5009,4292,4568,4394,4695,4970,5139,5386,5642,5629,5616,5330,5028,4852,4981,4937,4698,5130,5346,5515,5192,4834,4861,4388,4621,3971,3439,3845,2600,2875,2872,2963,3017,2421,2190,2126,2175,2424,1940,1566,1451,1241,1059,881,720,623,419,334,236,199,159,109,80,42,31,21,57
"합계",중랑구,382155,1702,1755,1654,1580,1828,1910,1973,2248,2326,2138,2269,2450,2324,2290,2208,2337,2480,2465,2353,2784,3072,3154,3829,4626,4799,5202,5890,6053,6600,6817,6760,7010,6492,5866,5628,5422,5268,5129,5144,5098,5256,5832,5774,5829,5542,4585,4982,4798,5040,5501,5954,6102,6686,6516,6726,6892,6592,6198,6496,6568,6211,6958,7258,7225,6910,6207,6099,5645,5777,5028,4208,4562,3204,3466,3469,3433,3441,2759,2349,2378,2282,2648,2100,1643,1583,1283,1073,900,771,597,475,362,261,208,156,151,88,63,41,28,53
"합계",성북구,425602,1696,1878,2008,1988,2226,2390,2594,2989,3213,3115,3091,3416,3431,3361,3198,3360,3771,3428,3371,4575,5237,5501,6443,7358,7018,6800,6944,6564,6437,6391,6187,6314,5929,5454,5391,5344,5298,5313,5483,5400,6186,6420,6579,6601,6510,5592,5954,6160,6365,7069,7514,7720,8031,7768,7559,7175,6655,6016,6244,6267,5769,6179,6359,6692,6081,5777,5810,5230,5529,4574,4078,4482,2987,3442,3529,3482,3559,2941,2509,2621,2557,3016,2394,1960,1876,1515,1307,1069,983,734,521,426,326,283,217,169,123,73,46,28,59
"합계",강북구,288113,791,808,945,998,1004,1178,1343,1426,1551,1531,1693,1880,1777,1835,1827,1866,2017,1939,1946,2361,2786,2890,3344,3984,3821,4047,4251,4251,4399,4382,4168,4217,3943,3381,3339,3238,3096,3118,3197,3300,3607,4052,4006,4093,4132,3509,3911,3917,4089,4586,4925,5004,5461,5243,5184,5312,4947,4493,4966,4730,4723,5054,5141,5530,5157,4666,4675,4312,4600,3998,3365,3805,2810,3059,3172,3169,3228,2502,2295,2355,2254,2710,2155,1585,1556,1256,1055,928,770,542,414,303,224,198,170,109,79,45,34,28,47
"합계",도봉구,306948,952,1070,1126,1112,1308,1406,1571,1773,1922,2002,1918,2171,2165,2188,2127,2209,2483,2269,2189,2653,2813,2906,3297,3842,3726,3905,4205,4088,4305,4352,4290,4315,4108,3698,3611,3470,3425,3439,3635,3616,4019,4296,4468,4400,4304,3632,4113,4157,4345,4780,5138,5265,5818,5734,5582,5762,5353,5097,5274,5240,5040,5569,5722,6107,5699,5318,5343,4818,5113,4249,3569,3968,2789,3013,2882,3036,3036,2403,2162,2106,2167,2526,2007,1635,1591,1311,1088,899,783,570,505,410,271,207,178,146,98,68,27,24,58
"합계",노원구,498213,2000,2137,2053,2147,2285,2371,2843,3261,3620,3708,3734,4310,4375,4539,4469,4973,5199,4811,4896,5866,5998,5791,6836,7707,6996,6922,6733,6383,6541,6394,6514,6784,6581,6053,6029,5949,5632,5733,5830,5917,6683,7277,7412,7632,7718,6745,7585,7594,7968,8787,9091,9286,9867,9536,9091,8929,8079,7486,7668,7408,7336,7843,8110,8203,7650,7353,7173,6654,6926,5869,5002,5500,3747,4178,4140,3996,4107,3325,2853,2865,2824,3382,2567,2143,2060,1784,1557,1265,1142,929,725,579,407,358,282,187,152,88,53,52,85
"합계",은평구,466770,1740,2020,2053,2102,2220,2399,2554,2936,3196,3054,3100,3499,3354,3514,3340,3562,3901,3719,3511,4039,4380,4445,4956,5892,6074,6338,7052,7320,7564,7774,7652,7805,7452,6759,6354,6247,5961,5976,6063,6084,6934,7181,7454,7316,7162,6044,6846,6622,6946,7736,8209,8165,8647,8227,8173,7984,7356,6893,7059,7124,6854,7331,7648,7864,7469,6810,6792,6153,6385,5538,4831,5200,3749,4116,4153,4137,4306,3401,2973,2969,2947,3447,2652,2198,2108,1724,1508,1305,1044,812,590,467,343,244,207,140,122,62,43,32,57
"합계",서대문구,306231,1298,1427,1514,1549,1551,1743,1895,2104,2183,2259,2106,2250,2056,2174,2103,2092,2217,2224,2126,2775,3300,3563,4328,5121,5113,5293,5466,5550,5407,5291,5222,5045,5047,4404,4294,4204,4141,4149,4272,4129,4480,4798,4751,4581,4429,3926,4248,4071,4268,4701,4835,5121,5492,5234,5273,5007,4678,4232,4587,4434,4224,4511,4632,4759,4386,4142,4059,3643,3803,3202,2830,3045,2095,2449,2468,2352,2632,2113,1837,1855,1843,2249,1779,1465,1481,1190,1042,913,784,545,415,365,238,227,171,103,86,51,27,27,62
"합계",마포구,363697,1523,1692,1835,1748,1894,2058,2220,2572,2590,2496,2328,2729,2522,2597,2501,2693,2861,2597,2529,3118,3523,3679,4529,5675,5868,6341,6980,7233,7537,7535,7517,7594,7279,6344,6091,6042,5683,5920,5743,5594,5958,6252,6111,5747,5800,4915,5448,5386,5477,5840,6201,6230,6457,6084,5995,5637,5122,4559,4980,4769,4509,4702,4753,4942,4509,4055,4124,3733,3862,3168,2780,3171,2080,2413,2511,2432,2532,1970,1917,1921,1842,2234,1690,1473,1386,1123,1055,843,768,577,455,384,269,201,170,140,85,46,29,15,50
"합계",양천구,436028,1425,1692,1805,1919,2150,2434,2950,3296,3780,3928,4177,4734,4787,4995,4721,5190,5258,4607,4554,4711,4553,4398,4690,5253,5214,5271,5671,5708,5877,5889,5835,5808,5775,5113,4959,4875,4795,4929,5437,5546,6306,6887,7317,7510,7638,6761,7321,7355,7382,8056,7978,8185,8422,8030,7849,7440,6981,6538,6660,6740,6235,6910,6926,7066,6700,6173,6129,5545,5945,5012,4322,4663,3191,3523,3443,3314,3215,2548,2082,2110,1977,2214,1686,1412,1384,1128,1030,791,685,578,495,387,301,237,191,129,100,54,43,24,65
"합계",강서구,563058,2451,2603,2642,2703,2946,2998,3239,3773,3913,3921,3925,4475,4259,3971,3854,4226,4484,4089,3994,4540,4787,4923,5562,6990,7140,8137,9354,10023,10943,11319,11464,11653,11278,9956,9468,9333,8419,8534,8415,8134,8987,9392,9388,9250,9053,7629,8159,7880,8028,8654,8864,8759,9035,8717,8543,8410,7724,7302,7947,7878,7534,8453,8876,9149,8801,8020,8047,7327,7740,6411,5828,6121,4199,4714,4594,4435,4442,3434,2976,2863,2623,3003,2333,2089,1896,1577,1320,1114,1088,810,653,528,387,340,271,192,147,89,66,49,82
"합계",구로구,392405,1830,2032,2016,1993,2160,2260,2298,2501,2713,2631,2759,2952,2759,2861,2663,2793,2954,2798,2675,3004,3129,3423,3835,4756,4901,5406,5991,6113,6608,6709,6666,6865,6849,6278,6129,6063,5754,5555,5499,5441,5905,6231,6260,6167,6107,5171,5522,5538,5382,6119,6276,6374,6596,6440,6357,6339,5985,5602,5987,5966,5627,6170,6435,6684,6166,5942,5758,5354,5686,4839,4458,4533,3355,3737,3722,3552,3582,2808,2399,2411,2276,2623,1948,1578,1496,1321,1008,900,756,577,403,345,257,208,171,120,91,59,30,25,49
"합계",금천구,227481,897,887,878,882,936,942,1009,1094,1213,1146,1078,1359,1221,1257,1170,1233,1417,1335,1321,1536,1679,1783,2129,2857,3175,3754,4497,4836,5091,5173,5095,4975,4643,4013,3659,3529,3202,3038,2941,2859,3044,3163,3147,3044,2989,2570,2774,2716,2934,3163,3493,3565,3739,3794,3821,3888,3695,3715,3880,3924,3652,4126,4099,4280,3996,3635,3374,3137,3220,2806,2356,2535,1883,2099,2001,1916,1987,1551,1419,1338,1250,1509,1148,932,900,705,565,476,450,334,263,201,150,113,80,62,44,26,17,17,32
"합계",영등포구,374794,2034,2070,2082,1998,2193,2248,2240,2421,2483,2408,2247,2454,2225,2239,2142,2307,2368,2172,2235,2564,2858,2949,3685,4706,5300,6125,7021,7619,8251,8499,8508,8620,8356,7303,7190,6751,6332,6112,6006,5716,5847,6233,5944,5711,5550,4605,5034,4948,4836,5279,5507,5632,6037,5741,5851,5749,5287,4995,5237,5339,4893,5299,5466,5603,5291,4925,4807,4266,4656,3929,3274,3741,2661,3035,2971,2883,2941,2350,2019,2032,1978,2316,1769,1457,1490,1187,1068,890,786,587,496,365,256,202,149,118,85,41,31,23,59
"합계",동작구,378769,1604,1609,1671,1724,1855,1978,2122,2340,2666,2502,2388,2636,2434,2605,2409,2395,2690,2517,2553,3367,3821,4024,4942,6242,6502,7187,7622,7870,7730,7785,7317,7329,6896,6089,5772,5652,5304,5143,5241,5123,5545,5776,5802,5695,5660,4785,5195,5237,5241,5685,5802,5945,6343,6094,6145,5917,5494,5005,5196,5370,5083,5397,5505,5753,5354,5094,4983,4544,4837,4032,3593,3996,2904,3139,3190,3148,3276,2698,2240,2231,2113,2463,1916,1600,1497,1225,1093,948,749,655,456,386,257,224,184,144,95,57,38,29,55
"합계",관악구,481956,1324,1371,1428,1448,1509,1539,1706,1937,2118,2100,2121,2262,2323,2275,2212,2446,2639,2530,2662,3609,4480,4998,6575,8978,10410,12593,14514,15092,14979,14760,13521,12715,11341,9415,8357,7570,6955,6424,6276,5866,6352,6649,6622,6555,6304,5436,5735,5717,5892,6443,6705,6811,7270,6895,6849,6715,6324,5812,6235,6190,5858,6557,6500,6924,6466,5970,5864,5458,5880,4941,4344,4906,3721,4041,4068,3937,3996,3201,2765,2835,2650,3148,2424,1923,1777,1468,1211,947,816,595,475,378,267,222,164,127,87,57,25,21,53
"합계",서초구,407664,1679,1915,2134,2227,2454,2777,3113,3488,3960,4071,4219,4652,4648,4761,4409,4764,4611,4305,4004,4433,4146,3977,4240,4964,4805,5025,5310,5666,5732,6033,5929,6027,6088,5493,5547,5502,5482,5446,5628,5821,6559,7016,7475,7595,7660,6650,7328,7181,7154,7626,7702,7659,7604,7480,6956,6345,5903,4856,5322,5381,4982,4970,5065,5131,5038,4840,4847,4412,4792,3928,3776,3828,2678,2974,3084,3088,2991,2515,2098,2014,1901,1989,1582,1305,1189,948,948,757,684,549,420,368,219,205,185,133,90,57,52,32,63
"합계",강남구,544873,2131,2177,2356,2481,2885,3126,3747,4242,4737,5123,5510,6224,6598,6506,6068,6633,6676,5976,5626,5991,5670,5066,5500,6570,6192,6922,7276,7812,8056,8521,8621,8554,8478,7828,7563,7522,7290,7399,7679,7837,8886,9557,10055,10273,10694,9293,10151,9976,10000,10092,10146,10175,10322,9672,9181,8207,7559,6369,7148,6988,6584,6408,6475,6696,6363,6236,6501,5968,6252,5327,5091,5399,3478,3971,4109,4072,3951,3382,2744,2631,2351,2487,2047,1702,1437,1316,1149,893,845,685,505,446,349,284,247,168,131,97,54,40,89
"합계",송파구,654166,2851,3181,3668,3695,4093,4295,4749,5560,5600,5622,5520,6225,5919,5888,5614,5660,6012,5578,5256,5781,5934,5741,6572,8016,7844,8534,9641,10224,10895,11218,11430,11580,11314,10425,10283,10202,9815,9869,9902,9969,11014,11724,11686,11506,11308,9360,10035,9690,9748,10392,10474,10771,11223,10753,10479,10271,9641,8740,9412,9270,8961,9473,9806,10102,9509,8763,9143,8018,8762,7201,6362,6782,4547,4966,4914,4660,4695,3699,3065,2986,2730,2956,2320,1886,1702,1441,1294,1091,1040,786,686,533,394,304,296,208,140,95,57,30,91
"합계",강동구,459167,2135,2501,2656,2714,2914,3043,3276,3641,4009,4003,3796,4239,3953,4026,3845,4036,4105,3675,3439,3747,3983,3953,4280,5430,5246,5853,6364,6874,7178,7291,7155,7523,7261,6780,6611,6755,6494,6506,6747,6783,7476,7963,8435,8055,7943,6742,7032,6789,6773,7174,7363,7459,7561,7358,7221,7227,6752,6316,6587,6917,6478,7261,7405,7863,7382,6861,6819,6175,6531,5641,4757,5289,3483,3694,3791,3681,3547,2823,2340,2203,2106,2373,1765,1431,1319,1130,942,805,738,565,460,394,268,219,221,142,106,60,34,25,77
